DATE,USSTHPI
1975-01-01,60.03
1975-04-01,60.96
1975-07-01,61.19
1975-10-01,62.24
1976-01-01,62.78
1976-04-01,65.42
1976-07-01,66.56
1976-10-01,67.25
1977-01-01,69.53
1977-04-01,72.73
1977-07-01,74.39
1977-10-01,77.21
1978-01-01,79.57
1978-04-01,82.76
1978-07-01,85.18
1978-10-01,87.48
1979-01-01,91.41
1979-04-01,94.49
1979-07-01,96.48
1979-10-01,98.22
1980-01-01,100.00
1980-04-01,101.66
1980-07-01,104.46
1980-10-01,104.57
1981-01-01,105.19
1981-04-01,107.41
1981-07-01,108.85
1981-10-01,107.49
1982-01-01,106.14
1982-04-01,108.8
1982-07-01,107.02
1982-10-01,111.7
1983-01-01,114.43
1983-04-01,115.94
1983-07-01,116.96
1983-10-01,117.66
1984-01-01,119.43
1984-04-01,121.04
1984-07-01,122.17
1984-10-01,123.15
1985-01-01,124.9
1985-04-01,126.77
1985-07-01,128.75
1985-10-01,130.18
1986-01-01,132.72
1986-04-01,135.5
1986-07-01,137.56
1986-10-01,139.69
1987-01-01,142.46
1987-04-01,144.68
1987-07-01,146.34
1987-10-01,147.3
1988-01-01,149.59
1988-04-01,152.59
1988-07-01,154.18
1988-10-01,155.59
1989-01-01,157.4
1989-04-01,159.56
1989-07-01,162.96
1989-10-01,164.31
1990-01-01,165.24
1990-04-01,165.93
1990-07-01,166.96
1990-10-01,166.31
1991-01-01,167.68
1991-04-01,168.8
1991-07-01,169.13
1991-10-01,171.49
1992-01-01,172.82
1992-04-01,172.78
1992-07-01,174.75
1992-10-01,175.62
1993-01-01,175.7
1993-04-01,177.39
1993-07-01,178.82
1993-10-01,180.29
1994-01-01,181.42
1994-04-01,182.49
1994-07-01,183.25
1994-10-01,183.09
1995-01-01,184.05
1995-04-01,187.08
1995-07-01,189.97
1995-10-01,191.42
1996-01-01,193.57
1996-04-01,193.89
1996-07-01,194.75
1996-10-01,196.27
1997-01-01,197.9
1997-04-01,199.53
1997-07-01,202.24
1997-10-01,204.87
1998-01-01,207.94
1998-04-01,209.8
1998-07-01,212.74
1998-10-01,215.26
1999-01-01,217.52
1999-04-01,220.42
1999-07-01,223.55
1999-10-01,225.84
2000-01-01,230.16
2000-04-01,233.91
2000-07-01,238.18
2000-10-01,241.82
2001-01-01,247.81
2001-04-01,251.97
2001-07-01,255.88
2001-10-01,259.04
2002-01-01,262.76
2002-04-01,267.24
2002-07-01,272.54
2002-10-01,276.41
2003-01-01,279.77
2003-04-01,283.2
2003-07-01,287.57
2003-10-01,295.7
2004-01-01,300.35
2004-04-01,307.69
2004-07-01,319.42
2004-10-01,326.27
2005-01-01,333.76
2005-04-01,344.46
2005-07-01,354.91
2005-10-01,362.94
2006-01-01,368.7
2006-04-01,372.47
2006-07-01,375.53
2006-10-01,379.39
2007-01-01,380.8
2007-04-01,380.56
2007-07-01,376.3
2007-10-01,375.08
2008-01-01,372.32
2008-04-01,362.93
2008-07-01,351.48
2008-10-01,348.24
2009-01-01,350.81
2009-04-01,341.62
2009-07-01,332.7
2009-10-01,330.17
2010-01-01,326.23
2010-04-01,323.27
2010-07-01,326.41
2010-10-01,324.09
2011-01-01,315.09
2011-04-01,309.55
2011-07-01,311.85
2011-10-01,313.28
2012-01-01,310.0
2012-04-01,308.58
2012-07-01,312.7
2012-10-01,315.15
2013-01-01,316.71
2013-04-01,321.54
2013-07-01,326.15
2013-10-01,328.74
2014-01-01,331.44
2014-04-01,337.87
2014-07-01,342.75
2014-10-01,345.53
2015-01-01,349.34
2015-04-01,355.01
2015-07-01,360.04
2015-10-01,362.94
2016-01-01,366.27
2016-04-01,373.13
2016-07-01,379.78
2016-10-01,382.72
2017-01-01,385.47
2017-04-01,394.09
2017-07-01,400.16
2017-10-01,403.48
2018-01-01,409.15
2018-04-01,416.68
2018-07-01,421.79
2018-10-01,423.23
2019-01-01,427.96
2019-04-01,435.11
2019-07-01,440.66
2019-10-01,444.57
2020-01-01,449.73
2020-04-01,454.23
2020-07-01,462.21
2020-10-01,472.38
2021-01-01,483.77
2021-04-01,510.67
2021-07-01,539.12
2021-10-01,557.65
2022-01-01,578.15
2022-04-01,616.29
2022-07-01,626.4
2022-10-01,621.3
2023-01-01,624.81
2023-04-01,644.13
2023-07-01,656.36
2023-10-01,657.83
2024-01-01,664.85
2024-04-01,682.18
